"source","context","target"
"%ds left","","ﺖﻀﻣ %ds"
"%i minute left","","ﺖﻀﻣ ﺔﻘﻴﻗﺩ %i"
"%i minutes left","","ﺖﻀﻣ ﻖﺋﺎﻗﺩ %i"
"%i second left","","ﺖﻀﻣ ﺔﻴﻧﺎﺛ %i"
"%i seconds left","","ﺖﻀﻣ ﻦﻧﺍﻮﺛ %i"
"%s wins!","","ﺯﺎﻓ %s!"
"Abort","","ﻁﺎﺒﺣﺇ"
"Add","","ﺔﻓﺎﺿﺍ"
"Address","","ﻥﺍﻮﻨﻋ"
"All","","الكل"
"Are you sure that you want to quit?","","ﻪﺒﻌﻠﻟﺍ ﻕﻼﻏﻻ ﺪﻛﺎﺘﻣ ﺖﻧﺍ ﻞﻫ?"
"Automatically record demos","","تلقائي"
"Blue team","","ﻕﺭﺯﻻﺍ ﻖﻳﺮﻔﻟﺍ"
"Blue team wins!","","ﺯﺎﻓ ﻕﺭﺯﻻﺍ ﻖﻳﺮﻔﻟﺍ!"
"Body","","الجسم"
"Call vote","","ﺖﻳﻮﺼﺗ"
"Change settings","","ﺕﺍﺩﺍﺪﻋﻻﺍ ﺮﻴﻴﻐﺗ"
"Chat","","ﺔﺷﺩﺭﺩ"
"Clan","","ﻥﻼﻛ"
"Client","","ﺖﻨﻳﻼﻛ"
"Connecting to","","ﻰﻟﺍ ﻝﺎﺼﺗﺍ"
"Connection Problems…","","ﻝﺎﺼﺗﻻﺍ ﻲﻓ ﻞﻛﺎﺸﻣ…"
"Console","","ﻞﺴﻧﻮﻜﻟﺍ"
"Controls","","ﻢﻜﺤﺘﻟﺍ"
"Count players only","","ﻂﻘﻓ ﻦﻴﺒﻋﻼﻟﺍ ﺪﻋ"
"Current","","ﻲﻟﺎﺤﻟﺍ"
"Custom colors","","مخصص"
"Delete","","ﻑﺬﺣ"
"Delete demo","","ﻮﻳﺪﻴﻔﻟﺍ ﻑﺬﺣ"
"Demofile: %s","","ملف"
"Demos","","ﺕﺎﻫﻮﻳﺪﻴﻔﻟﺍ"
"Disconnect","","ﺝﻭﺮﺧ"
"Disconnected","","متصل"
"Downloading map","","تحميل"
"Draw!","","ﻝﺩﺎﻌﺗ!"
"Dynamic Camera","","أمريكا الشمالية"
"Emoticon","","رمز تعبيري"
"Error","","ﺀﺎﻄﺧ"
"Error loading demo","","ﻮﻳﺪﻴﻓﻟﺍ ﻞﻴﻤﺤﺗ ﻞﺸﻓ"
"Favorite","","ﻞﻀﻔﻤﻟﺍ"
"Favorites","","ﺔﻠﻀﻔﻤﻟﺍ"
"Feet","","القدمان"
"Fire","","إطلاق"
"Folder","","ﻒﻠﻣ"
"Force vote","","ﺖﻳﻮﺼﺘﻟﺍ ﺽﺮﻓ"
"Free-View","","ﺮﺤﻟﺍ ﺮﻈﻨﻤﻟﺍ"
"Fullscreen","","ﻞﻣﺎﻜﻟﺍ ﺔﺷﺎﺸﻟﺍ ﻊﺿﻭ"
"Game","","ﺔﺒﻌﻠﻟﺍ"
"Game info","","معلومات"
"Game over","","ﺔﺒﻌﻠﻟﺍ ﺖﻬﺘﻧﺍ"
"Game paused","","أستراليا"
"Game type","","ﺔﺒﻌﻠﻟﺍ ﺭﻮﻃ"
"Game types:","","ﺔﺒﻌﻠﻟﺍ ﺭﺍﻮﻃﺍ:"
"General","","ﻡﺎﻋ"
"Graphics","","ﺲﻜﻴﻓﺍﺮﺟ"
"Grenade","","ﺔﻠﺒﻨﻗ"
"Hammer","","ﺔﻗﺮﻄﻣ"
"Has people playing","","ﺹﺎﺨﺷﺍ ﻪﺑ ﺪﺟﻮﻳ"
"High Detail","","ﺔﻴﻟﺎﻋ ﻞﻴﺻﺎﻔﺗ"
"Hook","","خطاف"
"Invalid Demo","","ﺢﻟﺎﺻ ﺮﻴﻏ ﻮﻳﺪﻴﻓ"
"Join blue","","ﻕﺭﺯﻻﺍ ﻰﻟﺍ ﻡﺎﻤﻀﻧﻻﺍ"
"Join red","","ﺮﻤﺣﻻﺍ ﻰﻟﺍ ﻡﺎﻤﻀﻧﻻﺍ"
"Jump","","ﺰﻔﻗ"
"Kick player","","ﺐﻋﻻ ﺩﺮﻃ"
"Language","","ﺔﻐﻠﻟﺍ"
"MOTD","","ﻡﻮﻴﻟﺍ ﺔﻟﺎﺳﺭ"
"Map","","ﺏﺎﻤﻟﺍ"
"Move left","","ﺭﺎﺴﻳ ﻙﺮﺤﺘﻟﺍ"
"Move player to spectators","","ﺪﻫﺎﺸﻳ ﺐﻋﻻ ﻞﻌﺟ"
"Move right","","ﻦﻴﻤﻳ ﻙﺮﺤﺘﻟﺍ"
"Movement","","ﻙﺮﺤﺘﻟﺍ"
"Mute when not active","","كتم"
"Name","","ﻢﺳﻻﺍ"
"Next weapon","","ﻲﻟﺎﺘﻟﺍ ﻡﻼﺴﻟﺍ"
"Nickname","","ﻢﺳﻻﺍ"
"No","","ﻻ"
"No password","","ﺮﺳ ﺔﻤﻠﻛ ﺪﺟﻮﻳ ﻻ"
"No servers found","","ﺕﺍﺮﻓﺮﻴﺳ ﺪﺟﻮﻳ ﻻ"
"No servers match your filter criteria","","ﻚﺑ ﺔﺻﺎﺨﻟﺍ ﺔﻴﻔﺼﺘﻟﺍ ﺮﻴﻳﺎﻌﻣ ﻖﺑﺎﻄﺗ ﺮﻓﺮﻴﺳ ﺪﺟﻮﺗ ﻻ"
"Ok","","ﻙﻭﺍ"
"Parent Folder","","ﻞﺻﻷﺍ ﺪﻠﺠﻤﻟﺍ"
"Password","","ﺭﻭﺮﻤﻟﺍ ﺔﻤﻠﻛ"
"Password incorrect","","ﺔﺌﻃﺎﺧ ﺭﻭﺮﻤﻟﺍ ﺔﻤﻠﻛ"
"Ping","","ﻖﻨﺑ"
"Pistol","","ﺱﺪﺴﻣ"
"Play background music","","الخلفية"
"Player","","ﺐﻋﻻ"
"Player country:","","ﺐﻋﻼﻟﺍ ﺪﻠﺑ:"
"Players","","ﻦﻴﺒﻋﻻ"
"Please balance teams!","","الفرق!"
"Prev. weapon","","ﻖﺑﺎﺴﻟﺍ ﺡﻼﺴﻟﺍ"
"Quit","","ﺝﻭﺮﺧ"
"Reason:","","ﺐﺒﺴﻟﺍ:"
"Red team","","ﺮﻤﺣﻻﺍ ﻖﻳﺮﻔﻟﺍ"
"Red team wins!","","ﺮﺼﺘﻧﺍ ﺮﻤﺣﻻﺍ ﻖﻳﺮﻔﻟﺍ!"
"Remote console","","ﻦﻣﺩﻻﺍ ﻞﺴﻧﻮﻛ"
"Remove","","ﻑﺬﺣ"
"Remove friend","","ﻖﻳﺪﺻ ﻑﺬﺣ"
"Rename demo","","ﻮﻳﺪﻴﻓﻟﺍ ﺔﻴﻤﺴﺗ ﺓﺩﺎﻋﺍ"
"Reset filter","","ﺔﻴﻔﺼﺘﻟﺍ ﺓﺩﺎﻋﺍ"
"Score","","ﻁﺎﻘﻨﻟﺍ"
"Score limit","","ﻁﺎﻘﻨﻟﺍ ﺩﻭﺪﺣ"
"Scoreboard","","ﻁﺎﻘﻨﻟﺍ ﺔﻤﺋﺎﻗ"
